id|org|type|comment
1|amazon|pros|You're surrounded by smart people and the projects are interesting, if a little daunting.
1|amazon|cons|Internal tools proliferation has created a mess for trying to get to basic information. Most people are required to learn/understand SQL Database queries to get any actionable data.
2|amazon|pros|Brand name is great. Have yet to meet somebody who is unfamiliar with Amazon. Hours weren't as bad as I had previously heard. But i guess can be long for corporate finance
2|amazon|cons|not the most stimulating work. Good brand name to work for but the work itself is mundane as it can get. As a financial analyst you do very little finance.
3|amazon|pros|Good money.Interaction with some great minds in the world during internal conferences and sessions.Of course the pride of being a part of earth's most customer centric experience
3|amazon|cons|No proper growth plan for employees.Difficult promotion process requiring a lot more documentation than your actual deliverable.
4|amazon|pros|nice pay and overtime and different shifts
4|amazon|cons|didn't last quite long enough
5|amazon|pros|Opportunity for those not afraid to work!
5|amazon|cons|Opportunity takes time up to two plus years!
6|amazon|pros|Pay was good, benefits from day one, meet a lot of new people, a lot of fun contests, and great giveaways. They keep you hydrated with the endless water supply
6|amazon|cons|Long hours with only two 15 minute breaks and half hour lunch, so to have to stand on concrete without being able to sit is hard. Good luck trying to get the days that work for your life when you start. They tell you what days yo have to work. Either except it or move on. Do not get sick while working there. People have gotten fired for fainting at work. If you aren't fast enough to make a ridiculously high rate, the??Show More
7|amazon|pros|Got to meet some decent people from jersey, when it's a little warmer out its nice ride from philly to jersey
7|amazon|cons|the hours are too long, you have to stand up the whole shift, you can't bring your phone in, there's no entertainment to keep you focused, it's always freezing, it's way too loud, the breaks are too short
8|amazon|pros|The salary is good for the work involved. They offer stock however only after a year of employment at the company.
8|amazon|cons|Management and Human Resources do not communicate to floor employees. The culture there seems to adhere to a he said/she said and if you are young and inexperienced in the work environment you will be wrong and targeted. There is no growing in this company even if promises are made. I do not recommend this company if you are a first time employee especially since they take no part in grooming you or helping you. They??Show More
9|amazon|pros|Great company, great people. One of the biggest benefits is being able to reference Amazon as a recent workplace on your resume.
9|amazon|cons|For being such a prestigious company, the benefits were very average.
10|amazon|pros|Not too intense. Lots of outdoor activities during. The people are nice. Everyone is assigned a mentor. The salary was good as well.
10|amazon|cons|It was not a very interesting project. The challenge was more on the operational side instead of in the research side. Do not allow publication.
11|amazon|pros|Decent pay, but there are far better opportunities in the area
11|amazon|cons|Management is very poor
12|amazon|pros|Co-workers and management teams were generally upbeat, and it was easy to get help when you needed it most. This was a work at home position, and the hours were steady.
12|amazon|cons|Plenty of IT issues, lack of compassion from the higher ups, and somewhat a lack of ambition from some of the management staff
13|amazon|pros|good benefits, guaranteed 40hrs a week, paid time off , ect
13|amazon|cons|mandatory overtime at random times, over worked for not much pay, have to use paid time or un paid time on overtime days
14|amazon|pros|you get a great pay and it helps you out with getting other cleaning jobs
14|amazon|cons|after a while it gets boring
15|amazon|pros|Great pay. Great people. Great.
15|amazon|cons|Too hard. Too much standing.
16|amazon|pros|Great chances for promotions. The company is growing fast year after year. You can get a promotion every year. You work hard but play hard as well. They take good care of each other.
16|amazon|cons|Like most retail jobs the hours can be very long. Especially during the holiday season.
17|amazon|pros|Fun working environment, challenging, lots of people to interact with, lots of overtime bumps your pay way higher than the estimated (up to $25,000+ a year), typically get 3 day weekend unless it's the holiday season.
17|amazon|cons|Long working days (no more than 12hrs/day), lots to remember, pressure can build up for short periods of time.
18|amazon|pros|The people are great too work around and they try to fix all situations
18|amazon|cons|A little unorganized but nothing thst can't be fixed
19|amazon|pros|Very productive learning experience, and great company to start your career
19|amazon|cons|No work life balance for software engineers
20|amazon|pros|lots of over time.. make great money
20|amazon|cons|managers expect workers to work like robots and achieve high rates. lots of favortism
21|amazon|pros|I have fantastic support and training. Help is only a chat away. Our team stays connected in a team chat. And individual conversations with leadership are easily accomplished. I feel appreciated and valued working here. Time off and schedule changes are easy to arrange as well. Skill building and training are ongoing there is usually opportunity for additional hours. There are a host of skill sets to be trained in an??Show More
21|amazon|cons|The first two training weeks are long days and information overload! It may take a bit before you hit your groove of feeling confident in your role. A performance summary offers metrics of how you are doing based on customer response re: solving their issue. When something takes multiple steps and you couldn't solve their issue immediately this metric will count against you. They do look at general improvement trends??Show More
22|amazon|pros|I had a fun time do business with and will continue to do so in the future I would recommend it to anyone
22|amazon|cons|I did see any bad about Amazon I had a wonderful time and it was a true blessing to have found a place like Amazon
23|amazon|pros|If you are not willing to work hard, then this is not for you
23|amazon|cons|Difficult to change shift .......................
24|amazon|pros|Everything is great. This is a great company to work for with great people. You'll love it here! Go now!
24|amazon|cons|Nothing! The people are great, customers can be cranky and rude, but other than that it's a great place to work.
25|amazon|pros|Great hours, able to work from home, awesome benefits for anyone that sells a lot of items through them.
25|amazon|cons|There really weren't any the whole time I worked with them
26|amazon|pros|None It was the harshest place I have ever worked where the employee had no value
26|amazon|cons|Dont care about emploies period. Bottom line is the ONLY THING THET MATTERS!!!!! tHhe turn over rate is probably thre highest any where
27|amazon|pros|You get promoted by chatting with people and doing nothing important.
27|amazon|cons|Operations managers don't know what they are doing.
28|amazon|pros|Great company , lots of benifits, would not change working here for anything, they are doing alot of hiring. Many locations throughout the country. Constantly hiring
28|amazon|cons|There are not really any cons, people here complain but why complain in a warehouse job. The public really outs us like it's a bad company. Love it l.
29|amazon|pros|great work environment ,some times
29|amazon|cons|high turnover ratio,all the time
30|amazon|pros|Amazon has great benefits and the pay was okay especially since we were guaranteed overtime. Management was relaxed and they didnt micromanage. You just had to make sure you were performing.
30|amazon|cons|Standing and lifting for 10-12 hours a day.
31|amazon|pros|Working at Amazon is great during peak season. It was a great experience because of the diversity there was.
31|amazon|cons|If you aren't in shape it gets tough and you just become physically and mentally exhausted. It is a lot of walking.
32|amazon|pros|Nice benefits, good hours, good pay
32|amazon|cons|Young leadership, no communicaton between leadership and associates
33|amazon|pros|Benefits are outstanding. Co workers excluding management are outstanding.
33|amazon|cons|They tend to hire leadership straight out of college who lack any ounce of people skills. They eventually get thrown to the wolves in Which they have to survive in their own with their superiors breathing down their necks, trying to meet unattainable goals. They eventually put all common sense aside and ask too much of there associates. It's no fault of their own, but forget that the monetary benifit from their emplo??Show More
34|amazon|pros|Ignore the news article from recent NY Times on Amazon's terrible work culture. I have been working here since 2012 and yes the first few months was hard in terms of understanding how. what and when to get things done. But once i figured out pace, what really matters and dove in I loved going to work everyday and do what I do.
34|amazon|cons|Frugality - though this is one of Amazon's Leadership Principles I think it is because of this employees compare perks, benefits and simple things like working lunch meets and put the company in negative light.
35|amazon|pros|Good pay and Great hours
35|amazon|cons|Rates you on performance daily
36|amazon|pros|Good work and life balance
36|amazon|cons|Workload is quite a lot for individual as one employee.
37|amazon|pros|big company lots of options / teams
37|amazon|cons|young inexperienced managers
38|amazon|pros|Great experience working this job
38|amazon|cons|hours too long n need more raises
39|amazon|pros|Benefits And Insurance Advancement Growth
39|amazon|cons|12.50 and hour heavy work long hours
40|amazon|pros|*You get to have Amazon on your resume
40|amazon|cons|*Middle management treat you terribly, upper management and associates have been very nice and hard working but middle management are entitled, rude and borderline abusive.
41|amazon|pros|High visibility/impact.
41|amazon|cons|Very tedious work; almost no innovation.
42|amazon|pros|Great place to work with many great benefits.
42|amazon|cons|Poor internal promotions. People from the outside coming in will make more than someone that already knows the job.
43|amazon|pros|Good pay. Well organized company. Great benefits. I worked at a warehouse in the inbound side. They showed me how to operate a forklift and gained a lot of experience on how a warehouse works. 3 days off.
43|amazon|cons|Long hours! 10 hour shifts. Very boring depending on what your job is. No music or phones allowed. Very strict on lunches and breaks. Management is HORRIBLE at communicating with other managers or supervisors. This makes any projects very frustrating for everyone. Amazon will hire a college student straight out of school with NO experience in warehousing and place him as manager.
44|amazon|pros|They take very good care of their employees and I do miss working there. Always a good schedule and two thumbs up
44|amazon|cons|The only downside was being given so little hours. I would have liked to work a few more days a week.
45|amazon|pros|Good hours, decent pay, work from home, Great managers
45|amazon|cons|Customer service has it's cons. Cant ever go a day without having a rude customer calling in demanding things and ruining your day.
46|amazon|pros|Compensation and benefits package is great
46|amazon|cons|Communication is terrible, work/life not so great, employees treated as robots or commodities and not people. Amazon will try to pay you as little as possible and unless you get a really great boss, they aren't going to help you develop.
47|amazon|pros|#NAME?
47|amazon|cons|#NAME?
48|amazon|pros|Great part time, flexible schedule. More hours can be added as needed. Great holiday perks and food periodically.
48|amazon|cons|Too many leaders and not a lot of leading going on. At my location, some managers are there for the money only. They hide behind successful managers.
49|amazon|pros|networking, resume, promo items, paid trip to seattle
49|amazon|cons|low pay, strict culture, unfriendly colleagues
50|amazon|pros|If you search you will find opportunities to grow and learn new things.
50|amazon|cons|Like any big corporation this too has its own problems.
51|amazon|pros|The company offers fair wages and amazing great for all types of employees, and provides daily incentives to maximize productivity. It's a great first job, or an opportunity to explore an area in the field of logistics.
51|amazon|cons|The hours are long, and the jobs function can become monotonous. The repetition of work that doesn't provide any mental stimulation could be daunting to some. No phones are allowed into the warehouse, which is somewhat understandable.
52|amazon|pros|Awesome co-workers, awesome environment to work
52|amazon|cons|Long hours, poor management, not many chances for moving up or learning new things
53|amazon|pros|Consistent hours as a direct hire. 18 hours with pay guarantee. 30 days until dental and vision. 90 days until medical, which is far better than most part-time positions out there. Free beverages in the break-room, reduced costs of snacks in the vending machines. Plenty of work when the shipments are accounted for correctly. Advancement is swift if you are open to doing anything asked of you without an attitude.
53|amazon|cons|"Co-workers are a mixed bag as far as work ethic goes. A few lazy employees on the line can ruin everyone else's quota and pallet build. Few ambassadors seem capable of handling any job beyond talking to their friends while wearing a vest that proudly states ""How can I help?"". Leadership is in flux. At times it feels like things are passive-aggressive in what is asked of employees to do on behalf of the company - star??Show More"
54|amazon|pros|GREAT benefits with stock and health insurance. Pay is not outstanding but stock makes up for it.
54|amazon|cons|Management has no backbone and will not support you. Everyone fears HR
55|amazon|pros|Leadership team has excellent grip on employee
55|amazon|cons|Contractual Agreement is the reason to quit this job
56|amazon|pros|Very good quality products and usually arrives on time and when it doesn't they refund your money no questions asked
56|amazon|cons|Sometimes the product is broken or gets lost in transit and it takes longer than was expected and you can't contact sellers
57|amazon|pros|There is always room to grow cause the company is expanding
57|amazon|cons|Good workers can be let go cause they are not on managers favorite list
58|amazon|pros|I get to use some very advanced tools. Amazon is a large company so there are in-house utilities for everything. An interesting part of working at AWS is that the services are built on top of other AWS services. There are very few use cases for third-party infrastructure. If you have a problem with one of the services, you can engage with engineers on that service's team directly instead of having to go through custo??Show More
58|amazon|cons|The work is quite fast-paced, and management often has a lot of control over what you work on. The worst part about working at Amazon is having to be on-call. All engineers on a team are on an on-call rotation, which can get you paged in the middle of the night or on weekends. Even if you have no idea how to solve a problem, you have to be the point of contact on customer tickets while you have to page another engine??Show More
59|amazon|pros|Great cultural values that makes you think about how to run the company from the management perspective. One of the best companies to develop your career and to develop strong work ethic. Lot's of former ex-Amazonians have come back.
59|amazon|cons|Frugality is a pain when another tech company down the street offers free breakfast, lunch, and dinner. My friends claimed I suffered Stockholm Syndrome.
60|amazon|pros|Brilliant people around , hard working , motivational teams
60|amazon|cons|Less coding , more operational work , less challenging
61|amazon|pros|Good benefits, fairly good pay, casual environment. People bring their dogs with them to work. Nice location in downtown Seattle.
61|amazon|cons|Low retention rate. People move around a lot to different companies. I've worked there for 6 years and had 5 different managers. The commute into Seattle is a beast.
62|amazon|pros|Plenty of opportunity to learn more about Amazon and its internal tools
62|amazon|cons|Tough, competitive environment
63|amazon|pros|Good health benefits. Hourly wage is very fair for the area. Working conditions are decent. I work inside most of the time.
63|amazon|cons|Lots of management turnover and the managers are often young graduates who are not seasoned so it takes a long time for things to gel.
64|amazon|pros|Great benefits as soon as you're hired. Great management team and lots of opportunity to move up if you apply yourself. Also offers tuition assistance after one year of continuous employment and is willing to work around a school schedule.
64|amazon|cons|The actual job is very monotonous and very physical. The regular schedule is 4 consecutive 10 hour days and a fifth overtime day if needed. Pickers walk an average of 12 to 15 miles a day and at the end of a ten hour work day you go home completely drained.
65|amazon|pros|Extremely innovative company and intelligent co workers
65|amazon|cons|Training program is not sufficient to meet the companies demands and expectations
66|amazon|pros|Lots of time off, good opportunities for advancement
66|amazon|cons|They start you at one level below where they think you should be, so your first promotion, ias the job you should have had all along.
67|amazon|pros|Compensation was great and I loved being around very intelligent people. People listed to my ideas.
67|amazon|cons|Worked to death. I worked 7 days a week for over 8 months. No such thing as work/life balance.
68|amazon|pros|They give a lot of hours, simple task and a lot overtimes.
68|amazon|cons|Takes time to move up.
69|amazon|pros|Ok Money easy to get hired
69|amazon|cons|Work/life balance, Pager duty, Seattle Weather
70|amazon|pros|Flexible Schedule to work around school or another job. Decent pay considering the ease of the work.
70|amazon|cons|Physical labor, can get very tiring work
71|amazon|pros|Great brand and clients. Unique opportunity to sell a cross platform solution to some of the largest companies in the world. New products in video make the future compelling for advertising sales.
71|amazon|cons|Management could supervise a bit more, walk around to see what's really going on on the lines.
72|amazon|pros|You work hard, but it is rewarding. There is a strong network of dedicated leaders who will help you succeed if you put in the effort.
72|amazon|cons|Very aggressive sales targets. The team has experienced significant growth over the past 5 years and many partners are reaching a ceiling. The expectation is to continue a 40% YoY growth which is difficult to maintain.
73|amazon|pros|amazing company to work for
73|amazon|cons|During xmas time, work life balance can suffer.
74|amazon|pros|Great if you have no brains and like following rules.
74|amazon|cons|tough but lots of great vibes
75|amazon|pros|Lots of opportunity for interesting projects
75|amazon|cons|Very high operational work. Bureaucratic. Not good for people with brains.
76|amazon|cons|#NAME?
77|amazon|pros|Smart and driven colleagues. Had great direct manager. Hard and interesting problems to solve that really matter.
77|amazon|cons|Experience is highly dependent on getting a good direct manager that will work to get you promoted and shield you from politics
78|amazon|pros|The pay is great
78|amazon|cons|Ten hour shift are too long
79|amazon|pros|I worked in the Product Compliance as a contractor, and for the most part my job was great. My part of our team was very cohesive, we were trained well, and the managers seemed to appreciate our work. They took our concerns/suggestions for improvement into account. When I had to change my work hours due to a family emergency, they were very accommodating.
79|amazon|cons|There were definite communication issues - at one point one of the managers was very passive-aggressive in communicating a criticism she had of me, which I felt was unnecessary. There were also issues with cohesion among the team - we were divided into two groups (one of which was clearly favored) and not really given a big-picture sense of how our work affected each other (they seemed contradictory but were not, but??Show More
80|amazon|pros|There are a lot of smart people, but they think they are smarter than anyone else.
80|amazon|cons|Management is very young and don't have experience outside of Amazon.
81|amazon|pros|The company name obviously comes with perks
81|amazon|cons|A huge lack of transparency between management. Exceptionally political atmosphere where no one really wants to say the truth: Amazon is a company without a central vision.
82|amazon|pros|Teamwork, high velocity logistics, processes, and variety embrace the experiences at an Amazon Fulfillment Center
82|amazon|cons|Unreasonably low pay. Amazon needs to up its game or find themselves sharing the spotlight with Walmart and McDonalds pay reputation.
83|amazon|pros|Learn a lot of new things
