id	proactive	emot_intel	sjt	work_samp	str_int	consc	cog_flex	work_exp	degree	job_perf	citizenship	promotion	high_potential
1	48	41	44	45	49	54	47	2-5	none	43	40	No	No
2	59	51	51	52	51	54	48	0-1	none	58	46	No	No
3	52	49	51	46	52	51	48	0-1	none	49	47	No	Yes
4	53	50	52	49	47	51	51	0-1	bachelor	40	51	No	No
5	57	50	46	51	51	55	50	6-10	bachelor	58	48	No	No
6	57	44	49	51	50	54	44	0-1	associate	50	39	No	No
7	55	46	50	49	44	54	39	0-1	associate	47	45	Yes	Yes
8	52	47	43	45	50	56	51	6-10	associate	52	48	No	Yes
9	53	45	49	45	48	52	40	11+	none	45	38	No	No
10	50	49	54	44	54	48	50	0-1	doctorate	45	47	Yes	No
11	47	44	42	45	47	52	42	0-1	none	37	37	No	Yes
12	55	40	51	46	52	50	42	0-1	associate	37	45	No	No
13	53	45	48	47	48	48	49	2-5	none	41	48	No	No
14	50	43	48	45	49	53	44	6-10	bachelor	45	41	No	No
15	56	47	48	48	49	56	46	6-10	bachelor	48	40	No	No
16	56	44	52	47	48	54	46	0-1	bachelor	54	45	No	Yes
17	53	50	52	49	51	57	47	11+	associate	52	52	Yes	Yes
18	56	50	52	43	50	52	44	0-1	associate	45	44	No	No
19	53	43	47	43	48	48	39	6-10	associate	42	39	No	No
20	56	46	47	45	49	52	51	2-5	bachelor	40	44	No	No
21	50	49	46	42	48	51	51	11+	none	43	38	No	No
22	56	43	46	46	43	46	44	0-1	bachelor	43	40	No	No
23	51	43	44	43	49	46	47	2-5	associate	39	27	No	Yes
24	45	42	46	44	43	47	42	0-1	none	32	33	No	No
25	52	46	49	53	49	54	51	0-1	bachelor	48	56	No	No
26	54	41	50	48	47	57	47	2-5	bachelor	43	37	No	No
27	47	45	44	45	45	47	44	2-5	bachelor	36	30	No	No
28	43	45	48	44	46	51	43	2-5	none	30	30	Yes	No
29	54	46	49	50	44	47	45	6-10	associate	53	44	No	No
30	49	43	44	38	46	44	45	0-1	bachelor	31	31	No	No
